index,quality
314,5
315,6
316,5
317,5
318,6
319,6
320,5
321,5
322,6
323,5
324,4
325,6
326,6
327,7
328,6
329,6
330,6
331,6
332,7
333,5
334,5
335,6
336,6
337,6
338,6
339,6
340,5
341,6
342,8
343,5
344,5
345,6
346,6
347,7
348,6
349,6
350,6
351,5
352,5
353,6
354,6
355,5
356,7
357,5
358,5
359,6
360,5
361,6
362,5
363,7
364,6
365,6
366,5
367,5
368,7
369,6
370,6
371,5
372,5
373,5
374,6
375,5
376,5
377,6
378,6
379,5
380,6
381,6
382,7
383,7
384,5
385,7
386,6
387,5
388,6
389,5
390,6
391,6
392,7
393,5
394,5
395,6
396,5
397,7
398,7
399,6
400,7
401,5
402,6
403,6
404,6
405,5
406,5
407,5
408,6
409,5
410,6
411,5
412,6
413,5
414,6
415,6
416,6
417,6
418,5
419,5
420,6
421,6
422,5
423,5
424,5
425,6
426,6
427,5
428,6
429,6
430,6
431,5
432,5
433,7
434,7
435,5
436,6
437,6
438,5
439,5
440,5
441,7
442,6
443,6
444,6
445,6
446,5
447,5
448,5
449,6
450,7
451,6
452,5
453,6
454,6
455,4
456,7
457,6
458,6
459,3
460,5
461,6
462,6
463,5
464,5
465,5
466,6
467,6
468,6
469,5
470,6
471,5
472,5
473,5
474,5
475,6
476,6
477,6
478,7
479,6
480,6
481,7
482,5
483,5
484,6
485,5
486,6
487,6
488,6
489,6
490,7
491,6
492,6
493,7
494,5
495,6
496,6
497,5
498,6
499,6
500,6
501,6
502,6
503,7
504,5
505,5
506,6
507,6
508,6
509,7
510,5
511,3
512,5
513,5
514,5
515,5
516,5
517,7
518,6
519,5
520,5
521,6
522,5
523,5
524,6
525,5
526,7
527,6
528,6
529,6
530,5
531,5
532,6
533,6
534,6
535,7
536,6
537,6
538,4
539,5
540,6
541,5
542,7
543,6
544,6
545,6
546,6
547,5
548,6
549,6
550,6
551,6
552,6
553,6
554,5
555,6
556,5
557,5
558,5
559,6
560,5
561,6
562,5
563,6
564,6
565,6
566,6
567,8
568,6
569,5
570,6
571,5
572,5
573,7
574,6
575,4
576,5
577,5
578,5
579,5
580,6
581,6
582,5
583,5
584,6
585,6
586,7
587,7
588,5
589,6
590,6
591,5
592,7
593,6
594,6
595,5
596,5
597,6
598,6
599,6
600,6
601,7
602,6
603,7
604,5
605,6
606,5
607,5
608,7
609,5
610,7
611,5
612,6
613,6
614,6
615,6
616,5
617,6
618,6
619,6
620,6
621,5
622,6
623,4
624,5
625,6
626,5
627,7
628,5
629,6
630,5
631,5
632,6
633,6
634,5
635,6
636,5
637,6
638,7
639,5
640,5
641,6
642,6
643,5
644,6
645,6
646,6
647,5
648,5
649,5
650,6
651,5
652,7
653,7
654,6
655,4
656,7
657,6
658,6
659,5
660,7
661,5
662,5
663,6
664,7
665,5
666,7
667,5
668,6
669,5
670,6
671,6
672,6
673,6
674,7
675,5
676,6
677,6
678,8
679,7
680,6
681,6
682,7
683,5
684,6
685,8
686,7
687,6
688,5
689,6
690,7
691,5
692,5
693,6
694,6
695,5
696,5
697,6
698,5
699,5
700,6
701,5
702,7
703,5
704,5
705,6
706,5
707,5
708,5
709,5
710,5
711,5
712,6
713,5
714,7
715,6
716,5
717,6
718,6
719,6
720,6
721,6
722,7
723,6
724,6
725,6
726,6
727,5
728,7
729,6
730,4
731,7
732,5
733,5
734,7
735,6
736,5
737,7
738,6
739,5
740,6
741,6
742,6
743,4
744,6
745,6
746,7
747,6
748,5
749,5
750,6
751,5
752,5
753,5
754,5
755,7
756,6
757,7
758,6
759,6
760,5
761,5
762,6
763,7
764,6
765,6
766,6
767,6
768,6
769,7
770,5
771,5
772,6
773,5
774,6
775,6
776,6
777,6
778,6
779,5
780,6
781,6
782,6
783,5
784,6
785,5
786,5
787,5
788,5
789,6
790,5
791,4
792,6
793,6
794,6
795,6
796,6
797,5
798,6
799,6
800,5
801,5
802,6
803,6
804,5
805,7
806,5
807,7
808,6
809,6
810,7
811,6
812,5
813,6
814,7
815,5
816,6
817,6
818,6
819,5
820,7
821,5
822,5
823,5
824,8
825,6
826,6
827,5
828,6
829,6
830,6
831,6
832,7
833,5
834,6
835,6
836,4
837,7
838,6
839,5
840,5
841,5
842,7
843,4
844,6
845,5
846,6
847,6
848,7
849,6
850,5
851,7
852,5
853,6
854,5
855,5
856,6
857,5
858,5
859,5
860,5
861,5
862,4
863,5
864,6
865,6
866,5
867,6
868,6
869,6
870,7
871,7
872,7
873,6
874,5
875,5
876,5
877,6
878,6
879,6
880,5
881,6
882,5
883,5
884,5
885,6
886,5
887,6
888,7
889,6
890,5
891,6
892,7
893,6
894,5
895,5
896,5
897,6
898,7
899,7
900,7
901,6
902,5
903,7
904,5
905,6
906,6
907,6
908,6
909,7
910,6
911,5
912,5
913,6
914,5
915,7
916,7
917,7
918,5
919,5
920,6
921,6
922,5
923,6
924,6
925,4
926,6
927,5
928,6
929,6
930,5
931,5
932,5
933,6
934,5
935,7
936,5
937,5
938,4
939,6
940,5
941,6
942,6
943,5
944,6
945,6
946,6
947,6
948,6
949,6
950,6
951,6
952,6
953,6
954,5
955,7
956,6
957,6
958,6
959,6
960,5
961,5
962,6
963,6
964,5
965,5
966,5
967,5
968,5
969,7
970,6
971,7
972,7
973,7
974,7
975,6
976,7
977,6
978,6
979,6
980,6
981,4
982,5
983,5
984,5
985,6
986,6
987,5
988,5
989,5
990,6
991,6
992,6
993,6
994,7
995,5
996,6
997,5
998,6
999,6
